"Ticker","Company","Country","Exchange","Industry","Gross Profit Margin","Diluted EPS 1Y Growth","Gross Profit 3Y CAGR","Gross Profit 1Y Growth","Free Cash Flow (M)","Total Enterprise Value (TEV) (M)","Stock-Based Compensation (Cash Flow Statement) (M)","Free Cash Flow Margin","Shares Out Growth 3Y (CAGR)","EPS Normalized Actual vs Estimate (Quarterly)","Revenue Actual vs Estimate (Quarterly)","FCF Yield","Forward FCF Yield","Stock Price","TR 1M Performance","YTD Performance","Revenue Forward 2Y CAGR","CapEx to Revenue","PEG Ratio","Market Cap (M)","Buyback Yield","Revenue 3Y CAGR","Operating Margin","Net Debt / EBITDA","Beta","TR 3Y Performance (CAGR)","Diluted EPS 3Y CAGR","EPS Normalized Forward 2Y CAGR","Return on Invested Capital","TR 5Y Performance (CAGR)"
"HGTY","Hagerty, Inc.","US","NYSE","Insurance","56.8%","-21.5%","19.1%","-14.3%","$278.49","$4,293.03","$19.08","19.7%","6.5%","139.6%","12.9%","6.1%","","$13.12","15.4%","1.1%","2.6%","0.0","-0.9","$4,570.18","0.1%","16.6%","13.4%","-3.5","0.9","14.0%","25.4%","26.5%","26.8%","5.8%"
"DRH","DiamondRock Hospitality Company","US","NasdaqGS","Hotel and Resort REITs","29.5%","158.0%","2.8%","8.4%","$163.44","$3,623.01","$8.35","14.4%","-0.8%","64.6%","1.1%","6.5%","3.8%","$12.00","-8.0%","35.0%","2.1%","0.1","0.2","$2,527.18","0.7%","2.4%","16.4%","3.6","1.1","19.4%","21.6%","7.5%","6.3%","9.1%"
"GSHD","Goosehead Insurance, Inc.","US","NasdaqGS","Insurance","49.6%","20.0%","27.4%","29.5%","$75.04","$2,541.10","$22.10","18.7%","-0.1%","82.1%","9.9%","3.3%","3.8%","$68.45","31.7%","-9.0%","16.2%","0.0","2.8","$2,268.05","5.9%","18.6%","23.2%","3.3","1.5","0.3%","72.7%","21.1%","23.1%","-10.7%"
"IRDM","Iridium Communications Inc.","US","NasdaqGS","Diversified Telecommunication Services","71.9%","-13.4%","4.8%","3.4%","$288.32","$6,583.00","$49.48","32.6%","-5.4%","-26.9%","2.3%","5.8%","7.4%","$46.72","-2.8%","164.5%","6.8%","0.1","-3.7","$4,978.02","1.4%","4.4%","23.8%","3.8","0.6","0.3%","75.9%","15.7%","6.7%","0.5%"
"GHC","Graham Holdings Company","US","NYSE","Diversified Consumer Services","29.9%","-20.4%","5.1%","1.0%","$247.96","$5,053.35","$5.72","4.9%","-3.1%","-18.5%","1.5%","5.2%","6.7%","$1,097.98","-6.9%","3.8%","5.0%","0.0","0.3","$4,780.77","2.6%","6.4%","10.9%","0.3","0.8","25.1%","40.5%","13.2%","6.5%","14.2%"
"INSW","International Seaways, Inc.","US","NYSE","Oil, Gas and Consumable Fuels","72.5%","225.3%","2.0%","97.3%","$269.32","$5,129.14","$7.94","21.4%","0.4%","24.3%","17.6%","5.5%","6.5%","$99.76","3.6%","109.9%","10.3%","0.3","0.0","$4,885.77","0.2%","3.0%","55.4%","0.3","-0.2","47.6%","5.8%","2.0%","27.9%","55.1%"
"ATAT","Atour Lifestyle Holdings Limited","CN","NasdaqGS","Hotels, Restaurants and Leisure","43.7%","43.3%","62.0%","40.2%","$339.33","$4,154.79","$19.36","19.7%","1.6%","10.1%","6.7%","7.1%","6.4%","$34.49","1.9%","-12.3%","24.9%","0.0","0.7","$4,808.36","3.3%","54.7%","24.3%","-1.5","0.8","23.8%","87.6%","19.6%","67.6%",""
"DAVE","Dave Inc.","US","NasdaqGM","Consumer Finance","71.7%","306.3%","61.4%","72.6%","$326.54","$4,600.25","$37.55","50.7%","2.2%","-1.6%","-0.2%","7.1%","9.4%","$340.64","-3.5%","63.8%","26.7%","0.0","-154.4","$4,585.86","5.5%","39.6%","36.0%","0.1","3.9","254.8%","20.4%","15.2%","93.1%","2.6%"
"GNTX","Gentex Corporation","US","NasdaqGS","Automobile Components","35.0%","6.8%","11.2%","15.0%","$496.65","$4,484.21","$40.63","18.9%","-3.4%","6.1%","-2.7%","10.5%","7.5%","$22.13","-4.6%","-5.6%","5.3%","0.0","0.7","$4,712.99","5.1%","7.4%","19.6%","-0.4","0.8","-10.6%","6.6%","10.1%","18.3%","-4.6%"
"DOCS","Doximity, Inc.","US","NYSE","Health Care Technology","88.1%","-27.9%","14.6%","8.6%","$306.28","$4,082.83","$136.51","46.7%","-2.9%","2.9%","3.2%","6.4%","7.3%","$26.35","27.7%","-38.3%","5.8%","0.0","-2.9","$4,760.95","8.9%","14.5%","30.6%","-3.3","1.4","3.1%","14.6%","6.8%","41.8%","-21.7%"
