ticker,shares,avg_cost,sleeve,is_discretionary
AAPL,173.9283,312.80,Catalyst Momentum,0
AEM,379.2194,144.41,Core Compounders,1
AGX,88.2222,758.35,Core Compounders,0
AMAT,45.9653,450.06,Core Compounders,0
ANET,299.9566,182.57,Core Compounders,0
CAT,58.6743,888.61,Core Compounders,0
CEG,213.5596,274.82,High Conviction Speculative,1
FCX,883.9883,64.54,Core Compounders,0
GWRE,194.5955,140.71,High Conviction Speculative,1
LEU,343.6007,84.00,High Conviction Speculative,1
LLY,47.5151,1116.32,Catalyst Momentum,0
LRCX,79.1145,318.18,Core Compounders,0
MA,101.7863,484.09,Core Compounders,0
MLI,937.8845,58.39,Core Compounders,0
MTD,41.6503,1189.92,Core Compounders,0
MU,27.8517,130.80,High Conviction Speculative,1
NEM,577.9744,101.54,Catalyst Momentum,0
NOC,103.5865,552.65,High Conviction Speculative,1
NVDA,258.5603,211.32,Catalyst Momentum,0
NVT,338.5034,165.47,Core Compounders,0
PLTR,409.5354,91.50,High Conviction Speculative,1
PODD,172.0811,159.12,High Conviction Speculative,1
RDDT,269.4105,203.27,Catalyst Momentum,0
STRL,80.5790,784.12,Catalyst Momentum,0
TER,77.5176,374.31,Core Compounders,0
TMO,102.5391,494.78,High Conviction Speculative,1
V,158.9944,359.42,Core Compounders,0
STX,32.5354,878.21,Catalyst Momentum,0
