Ticker,Name,Weight,Date
CASH,CASH,0.08,2019-09-13
NVDA,NVIDIA Corporation,0.04,2019-09-13
GOOG,Alphabet Inc.,0.04,2019-09-13
NFLX,Netflix Inc.,0.04,2019-09-13
VST,Vistra Corp.,0.04,2019-09-13
ATI,ATI Inc.,0.04,2019-09-13
LDOS,Leidos Holdings Inc.,0.04,2019-09-13
WAB,Westinghouse Air Brake Technologies Corporation,0.04,2019-09-13
BKR,Baker Hughes Company,0.04,2019-09-13
CRH,CRH plc,0.04,2019-09-13
KLAC,KLA Corporation,0.04,2019-09-13
STRL,Sterling Infrastructure Inc.,0.04,2019-09-13
AWI,Armstrong World Industries Inc.,0.04,2019-09-13
HIMS,Hims & Hers Health Inc.,0.04,2019-09-13
ANET,Arista Networks Inc.,0.04,2019-09-13
MPWR,Monolithic Power Systems Inc.,0.04,2019-09-13
AVGO,Broadcom Inc.,0.04,2019-09-13
LLY,Eli Lilly and Company,0.04,2019-09-13
TMDX,TransMedics Group Inc.,0.04,2019-09-13
ISRG,Intuitive Surgical Inc.,0.04,2019-09-13
EBAY,eBay Inc.,0.04,2019-09-13
LRCX,Lam Research Corporation,0.04,2019-09-13
GD,General Dynamics Corporation,0.04,2019-09-13
ORCL,Oracle Corporation,0.04,2019-09-13
CASH,CASH,0.07,2025-10-10
NVDA,NVIDIA Corporation,0.04,2025-10-10
GOOG,Alphabet Inc.,0.04,2025-10-10
NFLX,Netflix Inc.,0.04,2025-10-10
VST,Vistra Corp.,0.04,2025-10-10
ATI,ATI Inc.,0.04,2025-10-10
LDOS,Leidos Holdings Inc.,0.04,2025-10-10
WAB,Westinghouse Air Brake Technologies Corporation,0.04,2025-10-10
BKR,Baker Hughes Company,0.04,2025-10-10
CRH,CRH plc,0.04,2025-10-10
KLAC,KLA Corporation,0.04,2025-10-10
STRL,Sterling Infrastructure Inc.,0.04,2025-10-10
AWI,Armstrong World Industries Inc.,0.04,2025-10-10
HIMS,Hims & Hers Health Inc.,0.04,2025-10-10
ANET,Arista Networks Inc.,0.04,2025-10-10
MPWR,Monolithic Power Systems Inc.,0.04,2025-10-10
AVGO,Broadcom Inc.,0.04,2025-10-10
LLY,Eli Lilly and Company,0.04,2025-10-10
TMDX,TransMedics Group Inc.,0.04,2025-10-10
ISRG,Intuitive Surgical Inc.,0.04,2025-10-10
EBAY,eBay Inc.,0.04,2025-10-10
LRCX,Lam Research Corporation,0.04,2025-10-10
GD,General Dynamics Corporation,0.04,2025-10-10
ORCL,Oracle Corporation,0.04,2025-10-10
TT,Trane Technologies plc,0.01,2025-10-10
CASH,CASH,0.03,2025-10-23
NVDA,NVIDIA Corporation,0.04,2025-10-23
GOOG,Alphabet Inc.,0.04,2025-10-23
NFLX,Netflix Inc.,0.04,2025-10-23
VST,Vistra Corp.,0.04,2025-10-23
ATI,ATI Inc.,0.04,2025-10-23
LDOS,Leidos Holdings Inc.,0.04,2025-10-23
WAB,Westinghouse Air Brake Technologies Corporation,0.04,2025-10-23
BKR,Baker Hughes Company,0.04,2025-10-23
CRH,CRH plc,0.04,2025-10-23
KLAC,KLA Corporation,0.04,2025-10-23
STRL,Sterling Infrastructure Inc.,0.04,2025-10-23
AWI,Armstrong World Industries Inc.,0.04,2025-10-23
HIMS,Hims & Hers Health Inc.,0.04,2025-10-23
ANET,Arista Networks Inc.,0.04,2025-10-23
MPWR,Monolithic Power Systems Inc.,0.04,2025-10-23
AVGO,Broadcom Inc.,0.04,2025-10-23
LLY,Eli Lilly and Company,0.04,2025-10-23
TMDX,TransMedics Group Inc.,0.04,2025-10-23
ISRG,Intuitive Surgical Inc.,0.04,2025-10-23
EBAY,eBay Inc.,0.04,2025-10-23
LRCX,Lam Research Corporation,0.04,2025-10-23
GD,General Dynamics Corporation,0.04,2025-10-23
ORCL,Oracle Corporation,0.04,2025-10-23
TT,Trane Technologies plc,0.01,2025-10-23
META,Meta Platforms Inc.,0.02,2025-10-23
HOOD,Robinhood Markets Inc.,0.02,2025-10-23
CASH,CASH,0.03,2025-11-25
NVDA,NVIDIA Corporation,0.04,2025-11-25
GOOG,Alphabet Inc.,0.02,2025-11-25
NFLX,Netflix Inc.,0.04,2025-11-25
VST,Vistra Corp.,0.04,2025-11-25
ATI,ATI Inc.,0.04,2025-11-25
LDOS,Leidos Holdings Inc.,0.04,2025-11-25
WAB,Westinghouse Air Brake Technologies Corporation,0.04,2025-11-25
BKR,Baker Hughes Company,0.04,2025-11-25
CRH,CRH plc,0.04,2025-11-25
KLAC,KLA Corporation,0.04,2025-11-25
